id,time_of_event,time_of_alert,target
00382,18.258,17.290,1
01155,,,0
00501,20.296,18.077,1
01284,,,0
01440,,,0
01302,,,0
01402,,,0
00074,20.233,18.967,1
01946,,,0
02050,,,0
01192,,,0
01153,,,0
01652,,,0
01543,,,0
01307,,,0
01309,,,0
01369,,,0
01535,,,0
01799,,,0
01592,,,0
01514,,,0
01334,,,0
02137,,,0
01918,,,0
00236,9.597,8.898,1
02048,,,0
01133,,,0
01597,,,0
01040,,,0
01356,,,0
00510,18.633,17.500,1
01872,,,0
01891,,,0
01346,,,0
01989,,,0
01862,,,0
01992,,,0
00086,19.400,15.900,1
01622,,,0
02029,,,0
01320,,,0
00326,19.667,19.400,1
00266,20.667,18.933,1
00463,20.433,19.333,1
00218,19.650,19.267,1
00389,17.700,17.400,1
00420,19.863,19.830,1
00332,5.833,5.333,1
00157,19.294,17.596,1
00076,19.900,17.800,1
00550,20.100,18.767,1
00394,19.532,18.097,1
00199,9.225,7.726,1
00025,20.033,18.467,1
00422,20.048,18.546,1
00309,19.233,18.433,1
00271,49.633,48.200,1
00272,20.539,18.871,1
00062,18.867,17.800,1
00537,20.418,19.699,1
00253,22.377,21.038,1
00250,9.160,7.661,1
00397,19.533,18.267,1
00127,18.117,16.419,1
00530,9.664,9.098,1
00007,21.200,19.500,1
00273,20.533,19.400,1
00183,19.467,17.800,1
00265,20.433,18.067,1
00428,16.867,15.467,1
00474,19.900,18.233,1
00118,20.333,19.400,1
00406,9.496,8.530,1
00121,19.300,18.733,1
00192,19.500,17.567,1
00486,9.561,7.896,1
00454,19.133,16.933,1
00104,20.783,20.133,1
00043,9.263,8.863,1
00055,19.133,17.800,1
00112,18.967,17.433,1
00413,20.033,18.100,1
00242,20.567,19.433,1
00541,20.100,19.067,1
00325,19.417,18.300,1
00479,20.515,19.618,1
00472,19.667,18.800,1
00523,20.300,18.133,1
00227,20.067,18.767,1
00154,20.333,17.367,1
00447,10.195,8.929,1
00500,19.933,18.633,1
00519,19.567,19.033,1
00262,17.900,13.933,1
00391,19.867,19.267,1
00533,19.767,17.267,1
